title,category,date,url,source_board,content_or_snippet,writer,board_id
경동대학교 안전보건 경영방침,경동,2026-01-12,https://www.kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN245&mode=view&mgr_seq=325&board_seq=69820,일반공지,"KDU 취/업/사/관/학/교 경동대학교 KYUNGDONG UNIVERSITY 경동대학교 안전보건 경영방침 취/업/사/관/학/교 경동대학교는 vision 2029 달성에 있어 안전을 최우선 가치로 삼고 “안전한 배움터, 건강한 일터” 구현을 위하여 다음 사항을 적극적으로 실천한다. 1. 안전보건 목표 가. 교직원과 학생의 생명과 안전을 최우선 가치로 삼는다. 나. 모든 산업재해와 안전사고를 예방하여 무재해 사업장을 실현한다. 다. 법령과 안전보건 관리규정을 철저히 준수한다. 라. 잠재적 위험요인을 조기에 발견하고 신속히 개선한다. 마. 교직원과 학생의 보건 향상과 건강증진을 적극 지원한다. 바. 쾌적하고 안전한 교육·연구·근무 환경을 조성한다. 사. 안전문화 정착을 통해 자율적인 안전보건 관리체계를 확립한다. 2. 안전보건 경영방침 가. 모든 교직원, 학생 및 근로자의 생명과 안전을 최우선 가치로 삼고, 경영 전반에 이를 반영한다.(“목표 가” 연계) 나. 「중대재해 처벌 등에 관한 법률」, 「산업안전보건법」 등 관련 법령을 철저히 준수하고, 학내 활동에서 발생할 수 있는 위험요인을 사전에 제거 또는 최소화한다. (“목표 나, 다” 연계) 다. 안전보건 관리체계를 확립하여 정기적으로 점검·개선하고, 사고 예방 중심의 관리를 실천한다.(“목표 나, 라” 연계) 라. 전 구성원이 참여하는 위험성 평가와 소통 활동을 강화하여 안전문화를 확산한다.(“목표 사” 연계) 마. 정기적인 교육과 훈련을 통해 교직원과 학생의 안전보건 역량을 강화한다.(“목표 마” 연계) 바. 안전보건 관리체계의 이행실적을 정기적으로 점검·공개하고, 재해 예방을 위한 재원과 인력을 적극 지원한다.(“목표 나, 바” 연계) 사. 유해·위험 요인 제거와 건강 증진 활동을 통해 사회적 책임을 다하는 안전하고 지속 가능한 캠퍼스를 조성한다.(“목표 마, 바” 연계) 2026. 1. 2. 경동대학교 총장 전 성 용",경동대학교,general
2026년 2030 청렴 ON 대학 캠퍼스 교육생 모집 안내,경동,2026-05-21,https://www.kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN245&mode=view&mgr_seq=325&board_seq=71473,일반공지,"감사실입니다. 국민권익위원회 국가청렴권익교육원은으로 부터 접수된 2026년 2030 청렴 ON 대학 캠퍼스 교육생 모집과 관련하여 아래와 같이 안내드리오니 많은 관심을 요청드립니다. <관련 내용> 국민권익위원회 국가청렴권익교육원은 대한민국 청년들의 반부패 문제에 대한 관심을 제고하고, 예비사회인·사회초년생으로서 갖추어야 할 청렴 전문역량을 함양하기 위해 ' 2030 청렴 ON 대학 캠퍼스' 교육과정을 다음과 같이 운영할 예정입니다. 귀 학교 대학(원)생들 이 교육에 많이 참여할 수 있도록 기관 홈페이지 게시 등 홍보에 협조하여 주시기 바랍니다. 가. 교육기간: 2026. 7. 1.(수)∼7. 3.(금) 나. 신청기간: 2026. 5. 20.(수)∼6. 21.(일) 다. 교육대상: 대학(원)생, 취업준비생, 직장인(만 19세 이상 34세 미만) 등 80명 라. 교육장소: 울산과학기술원 교내 강의실 마. 교육내용: MZ세대를 위한 청렴특강, ESG 아이디어 챌린지 바. 시상(평가 우수팀): 국민권익위원장상(장관급), 소정의 상금 등 수여 사. 혜택: 상시학습 18시간 인정, 오찬 및 다과 제공 아. 신청방법: 붙임의 포스터 네이버폼(QR코드 신청) 또는 국가청렴권익교육원 홈페이지 자. 관련 문의: 2030 청렴 ON 대학 캠퍼스 운영사무국(☎ 02-334-7005)",감사실,general
2026년도 제10차 교원인사위원회 개최 알림,전체,2026-05-19,https://www.kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN245&mode=view&mgr_seq=325&board_seq=71454,일반공지,2026년도 제10차 교원인사위원회 개최 알림 1. 일 시 : 2026년 5월 27일(수) 17시 2. 장 소 : 메트로폴캠퍼스 우당관 4층 취업사관행정센터B 회의실 (오프라인 참석 불가시 화상회의 병행) 3. 안 건 ○ 제1호 2026년 9월 전임교원 재임용 심의대상자 의견진술의 건 ○ 제2호 연구실적 미충족 교원에 대한 감면 범위 및 기간유예 적용(안) ○ 제3호 전임교원 재임용(안) ○ 제4호 전임교원 복직(안) ○ 제5호 전임교원 면직(안) ○ 제6호 비전임교원 신규임용(안) ○ 제7호 비전임교원 재임용(안) ○ 제8호 비전임교원 면직(안) 2026.05.19. 교원인사위원회 위원장,교원인사위원회,general
2026년도 제9차 교원인사위원회 개최 알림,전체,2026-04-28,https://www.kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN245&mode=view&mgr_seq=325&board_seq=71207,일반공지,2026년도 제9차 교원인사위원회 개최 알림 1. 일 시 : 2026년 5월 6일(수) 14시 30분 2. 장 소 : 메트로폴캠퍼스 우당관 4층 취업사관행정센터B 회의실 3. 안 건 ○ 제1호 2026년 9월 전임교원 재임용 업적평가 결과에 관한 건 ○ 제2호 2026년 9월 강사 재임용 업적평가 결과에 관한 건 ○ 제3호 전임교원 휴직(안) ○ 제4호 교원연구년 연구실적물 평가 결과 심의(안) ○ 제5호 교원연구년 연구실적물 평가 결과에 따른 조치(안) ○ 제6호 비전임교원 면직(안) 2026.04.28. 교원인사위원회 위원장,교원인사위원회,general
경동대학교 규정 개정 고시,경동,2026-04-27,https://www.kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN245&mode=view&mgr_seq=325&board_seq=71197,일반공지,경동대학교 규정 개정 고시 경동대학교 규정 개정에 따라 다음과 같이 고시합니다. □ 대상 규정 1. 학칙 2. 학칙시행세칙 3. 교원업적평가 규정 4. 직원 근무성적 평가에 관한 규정 5. 교과과정 편성 규정 6. 스포츠단 운영 규정 * 개정 내용은 첨부 파일을 참조하여 주시기 바랍니다. 2026년 4월 27일 경동대학교 총장,기획조정처,general
2026년 스승의 날 관련 교원 청탁금지법 준수지침 안내,경동,2026-04-20,https://www.kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN245&mode=view&mgr_seq=325&board_seq=71132,일반공지,"감사실입니다. 다가오는 스승의 날(2026.05.15.)을 맞아, 교원이 학생 및 학부모로부터 금품 등을 수수하는 행위를 방지하고, 청렴한 학교문화를 정착시키기 위해 「청탁금지법」관련 준수사항을 아래와 같이 안내하오니, 모든 교원께서는 철저히 이행하여 주시기 바랍니다. 가. 교원 준수지침 요약 1) 금품 및 선물 수수 금지 가) 학생 및 학부모로부터 모든 형태의 선물, 꽃, 편지, 음료 등 수수 금지 나) 스승의 날도 예외 아님, 의례적 행위로 보기 어려움 2) 허용 가능한 예외(청탁금지법 시행령 기준) 가) 사적 관계에서의 선물은 일부 허용(1회 100만 원 이하), 그러나 학생·학부모는 직무 관련자로 간주되어 원칙적으로 모든 수수 금지 3) 선물 수수 시 조치 가) 선물 등 제공받을 경우 즉시 정중히 반환하고, 감사실에 관련 사안 보고 4) SNS, 외부 공개 유의 가) 오해 소지를 피하기 위해 관련 사진 게시 및 공적 노출 자제 나. 교육현장에서의 적용해석(국민권익위원회 유권해석 기준) 사례 허용여부 사유 스승의 날 카네이션 꽃 × (금지) 직무관련자 → 직무관련 금품 감사편지, 손편지 ○ (허용) 금품에 해당하지 않음 음료수, 커피쿠폰 × (금지) 금품 제공으로 해석됨 고가선물(화장품, 상품권 등) × (금지) 사회 통념상 부적절, 위법 소지 * 국민권익위원회 공식 해석 -“스승의 날은 일반적 의례로 보기 어려우며, 학생·학부모는 교원에 대한 직무관련자이므로 금품 등의 수수는 원칙적으로 금지됨.”",감사실,general
2026년도 제2차 학교법인경동대학교 이사회 개최 알림,전체,2026-04-16,https://www.kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN245&mode=view&mgr_seq=325&board_seq=71044,일반공지,2026년도 제2차 학교법인경동대학교 이사회 개최 알림 1. 일시 : 2026년 4월 24일(금) 12시 2. 장소 : 한국프레스센터 20층 무궁화실 3. 안건 가. 학교법인 경동대학교 임원 선임안 나. 학교법인 경동대학교 2025회계연도 법인회계 결산안 다. 경동대학교 2025회계연도 교비회계 결산안 라. 경동대학교 교원 임용안 마. 경동대학교 규정 개정안 바. 기타 안건 끝. 2026.04.16. 학교법인경동대학교 이사장,학교법인경동대학교,general
2026년도 제8차 교원인사위원회 개최 알림,전체,2026-04-15,https://www.kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN245&mode=view&mgr_seq=325&board_seq=71042,일반공지,2026년도 제8차 교원인사위원회 개최 알림 1. 일 시 : 2026년 4월 23일(목) 9시 2. 장 소 : 메트로폴캠퍼스 우당관 4층 취업사관행정센터B 회의실 3. 안 건 ○ 제1호 전임교원 면직(안) 2026.04.15. 교원인사위원회 위원장,교원인사위원회,general
26년 8월말 퇴직교원 정부포상 추천대상자 공개 검증,전체,2026-04-13,https://www.kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN245&mode=view&mgr_seq=325&board_seq=71023,일반공지,"26 년 8 월말 퇴직교원 정부포상 추천대상자 공개 검증 2026년 8월 퇴직교원 정부포상 추천대상인 본교 교원에 대하여 아래와 같이 사전 공개하오니 포상추천 대상자에 대한 의견이 있는 분은 이메일(insa@kduniv.ac.kr)로 제출하여 주시기 바랍니다. ○ 공개내용: 포상대상자의 소속, 성명, 재직기간, 공적요지 ○ 공개기간: 2026.04.13. ~ 2026.04.17. (5일간) ○ 참고사항: 붙임 명단은 포상확정자 명단이 아니며, 포상검증 절차진행과정에서 추천 훈격이 변동될 수 있음.",혁신전략처,general
2026년 제2차 공적심사위원회 개최 알림,전체,2026-04-13,https://www.kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN245&mode=view&mgr_seq=325&board_seq=71017,일반공지,2026년 제2차 공적심사위원회 개최 알림 1. 일시 : 2026년 4월 21일(화) 9시 2. 장소 : 메트로폴캠퍼스 우당관 4층 취업사관행정센터B 회의실 3. 안건 제1호 외부기관 표창 추천(2026년 8월말 퇴직교원 포상)(안) 제2호 개교 45주년 기념 「제17회 우당대상」 수상후보자 추천(안) 제3호 개교 45주년 기념 「총장 표창장」 수상후보자 추천(안) 끝 2026.04.13. 공적심사위원회 위원장,공적심사위원회,general
